id,title,description,category,category_label,is_synthetic,split
2646,Incorrect doctoral record,My personal information in the research portal does not match my official documents. The discrepancy is visible in my portal profile.,Portal_Data_Correction,Portal_Data_Correction,True,test
290,Registration request not processed,The research enrollment process has not been updated. I need the registration to be completed for my research work.,Registration,Registration,True,train
487,Problem with research supervisor,The doctoral supervision process needs correction. I have already submitted the required request.,Supervisor_Related,Supervisor_Related,True,train
2186,Problem with research status conversion,My research status conversion requires approval. The request was submitted through the prescribed process.,FT_PT_Conversion,FT_PT_Conversion,True,train
1422,Thesis submission not updated,The doctoral thesis submission record has not been updated. I submitted the required documents successfully.,Thesis_Submission,Thesis_Submission,True,test
1812,Viva examination not scheduled,The defense process requires clarification. I have completed the required pre-viva formalities.,Viva,Viva,True,train
496,Request for supervisor change,My supervision arrangement is still pending. I have not received a clear update from the concerned office.,Supervisor_Related,Supervisor_Related,True,train
1095,Issue with RDC review,My research matter before the rdc has not been updated. I have been waiting for the committee's decision.,RDC,RDC,True,test
3115,Issue not covered by listed categories,An issue related to my doctoral process is still pending. I have submitted the relevant documents.,Other,Other,True,train
2070,Full-time part-time status change,My request for a change of research status is showing the old status. I submitted the required application.,FT_PT_Conversion,FT_PT_Conversion,True,validation
333,Problem with doctoral enrollment,My enrollment record has not been processed. I need the registration to be completed for my research work.,Registration,Registration,True,train
2204,Problem with doctoral fee,My doctoral fee record is showing as unpaid. The amount was already paid successfully.,Fee,Fee,True,train
1492,Issue with thesis submission,My submitted thesis documents has not been updated. I submitted the required documents successfully.,Thesis_Submission,Thesis_Submission,True,test
257,Problem with doctoral enrollment,The research enrollment process has not been processed. All requested information has been submitted.,Registration,Registration,True,train
901,RAC schedule not received,The next rac meeting has not been communicated. I submitted the relevant research documents.,RAC,RAC,True,train
3028,General doctoral process grievance,An administrative issue concerning my research has not been resolved. The issue is affecting my research work.,Other,Other,True,train
539,Supervisor assignment pending,My research supervisor allocation has not been finalized. The matter has remained unresolved for several days.,Supervisor_Related,Supervisor_Related,True,validation
1290,Paper verification request delayed,My publication record has not been updated. I have already provided the required evidence.,Publication_Verification,Publication_Verification,True,train
1749,Thesis evaluation not updated,My thesis review status requires clarification. I have been waiting for the evaluation update.,Thesis_Evaluation,Thesis_Evaluation,True,test
2969,Problem with RTI/IIGRS submission,My grievance under the rti/iigrs process requires clarification. I am waiting for an official response.,RTI_IIGRS,RTI_IIGRS,True,train
643,Course work registration problem,The coursework classes are not reflected correctly. The issue is affecting my research progress.,Course_Work,Course_Work,True,train
2315,Payment record not updated,The payment status is still pending. The issue is preventing completion of the required process.,Fee,Fee,True,train
1591,Thesis submission status pending,My thesis submission is not visible in the portal. The submission deadline has already passed.,Thesis_Submission,Thesis_Submission,True,train
1360,Paper verification request delayed,My research publication verification requires clarification. I have already provided the required evidence.,Publication_Verification,Publication_Verification,True,validation
2189,Problem with research status conversion,My request for a change of research status has not been updated. The request was submitted through the prescribed process.,FT_PT_Conversion,FT_PT_Conversion,True,train
1412,Problem submitting doctoral thesis,The doctoral thesis submission record requires confirmation. The submission deadline has already passed.,Thesis_Submission,Thesis_Submission,True,train
3044,General research grievance,My research administration matter is still pending. The issue is affecting my research work.,Other,Other,True,train
322,Unable to complete research registration,The research enrollment process cannot be completed. I need the registration to be completed for my research work.,Registration,Registration,True,validation
1136,RDC approval pending,My research matter before the rdc has not been communicated. The matter was submitted through the prescribed process.,RDC,RDC,True,test
1804,Issue with viva examination,The viva schedule is awaiting confirmation. The delay is affecting completion of my PhD.,Viva,Viva,True,train
1560,Thesis submission process delayed,The doctoral thesis submission record has not been updated. I need confirmation that the submission was received.,Thesis_Submission,Thesis_Submission,True,train
568,Issue regarding doctoral supervision,My request for a supervisor change has not been finalized. I have already submitted the required request.,Supervisor_Related,Supervisor_Related,True,train
512,Request for supervisor change,My supervision arrangement is causing difficulty in continuing my research. The matter has remained unresolved for several days.,Supervisor_Related,Supervisor_Related,True,test
252,Unable to complete research registration,My registration request is showing an error. I have completed the required registration steps.,Registration,Registration,True,train
258,Registration request not processed,My doctoral registration status is still pending. The required documents are already available.,Registration,Registration,True,train
533,Problem with research supervisor,My research supervisor allocation is causing difficulty in continuing my research. The current information does not match my records.,Supervisor_Related,Supervisor_Related,True,train
1473,Thesis submission not updated,The doctoral thesis submission record has not been acknowledged. The thesis was submitted through the prescribed process.,Thesis_Submission,Thesis_Submission,True,train
1798,Thesis review status pending,The status of my thesis review has not been updated. The delay is affecting the next stage of my doctoral process.,Thesis_Evaluation,Thesis_Evaluation,True,train
3136,Research administration problem,An administrative issue concerning my research has not received a response. I am requesting appropriate guidance on the next step.,Other,Other,True,train
565,Request for supervisor change,The doctoral supervision process has not been finalized. I have not received a clear update from the concerned office.,Supervisor_Related,Supervisor_Related,True,test
1799,Delay in doctoral thesis assessment,The thesis assessment process has not been updated. I have not received an official evaluation status.,Thesis_Evaluation,Thesis_Evaluation,True,validation
1426,Issue with thesis submission,The final thesis submission process is showing an incorrect status. I submitted the required documents successfully.,Thesis_Submission,Thesis_Submission,True,train
1211,Problem verifying research publication,My research article verification has not been completed. The delay is affecting my research documentation.,Publication_Verification,Publication_Verification,True,train
1838,Issue with viva examination,My viva voce examination is still pending. I have not received the examination schedule.,Viva,Viva,True,validation
868,RAC schedule not received,My rac schedule has not been updated. I submitted the relevant research documents.,RAC,RAC,True,train
135,PhD admission application pending,My admission documents has not moved to the next stage. The required documents were uploaded successfully.,PhD_Admission,PhD_Admission,True,train
264,Problem with doctoral enrollment,My registration request has not been updated. The required documents are already available.,Registration,Registration,True,train
1265,Paper verification request delayed,My research article verification has not been processed. I submitted the publication documents as requested.,Publication_Verification,Publication_Verification,True,test
890,RAC meeting issue,My rac meeting needs clarification. I have completed the required preparation.,RAC,RAC,True,train
2852,RTI matter not updated,My iigrs grievance has not been processed. I would like the concerned office to verify the matter.,RTI_IIGRS,RTI_IIGRS,True,train
1432,Thesis submission status pending,The final thesis submission process is still pending. The submission deadline has already passed.,Thesis_Submission,Thesis_Submission,True,train
300,Registration status not updated,My doctoral registration status is showing an error. All requested information has been submitted.,Registration,Registration,True,train
2012,Part-time conversion pending,My full-time to part-time conversion application is showing the old status. I need the change to be reflected in my academic record.,FT_PT_Conversion,FT_PT_Conversion,True,train
2765,Portal record correction request,My doctoral profile has not been corrected. I have the correct supporting document.,Portal_Data_Correction,Portal_Data_Correction,True,train
1724,Problem regarding thesis evaluation,The status of my thesis review has not been completed. My thesis has already been submitted.,Thesis_Evaluation,Thesis_Evaluation,True,train
431,Supervisor allocation issue,The supervisor assigned to my phd has not been finalized. I have not received a clear update from the concerned office.,Supervisor_Related,Supervisor_Related,True,train
1488,Thesis submission process delayed,My thesis upload has not been acknowledged. The submission deadline has already passed.,Thesis_Submission,Thesis_Submission,True,test
1503,Problem submitting doctoral thesis,My thesis upload has not been updated. The submission deadline has already passed.,Thesis_Submission,Thesis_Submission,True,train
2906,Issue related to RTI request,The status of my iigrs request has not been updated. I submitted the request through the appropriate channel.,RTI_IIGRS,RTI_IIGRS,True,train
2316,Fee payment not reflected,The payment status has not been updated. The issue is preventing completion of the required process.,Fee,Fee,True,train
2263,Payment record not updated,My semester research fee is still pending. I have the transaction details available.,Fee,Fee,True,train
1386,Research paper verification issue,My research article verification is awaiting verification. I have already provided the required evidence.,Publication_Verification,Publication_Verification,True,train
1365,Research paper verification issue,The publication documents submitted for verification requires clarification. The delay is affecting my research documentation.,Publication_Verification,Publication_Verification,True,test
1299,Paper verification request delayed,My research article verification is awaiting verification. I have already provided the required evidence.,Publication_Verification,Publication_Verification,True,test
1868,Doctoral defense date not received,My viva voce examination is awaiting confirmation. My thesis evaluation has already progressed.,Viva,Viva,True,train
930,RAC meeting issue,My rac approval has not been updated. I need the concerned office to confirm the next step.,RAC,RAC,True,validation
369,PhD registration issue,My phd registration has not been updated. The registration deadline is approaching.,Registration,Registration,True,validation
1789,Issue with thesis evaluation,My thesis evaluation has not progressed. The delay is affecting the next stage of my doctoral process.,Thesis_Evaluation,Thesis_Evaluation,True,train
3129,Research administration problem,My doctoral administrative problem requires clarification. The issue is affecting my research work.,Other,Other,True,train
3001,Unclassified research-related issue,My research-related request has not been resolved. I would like the matter to be reviewed.,Other,Other,True,test
1081,RDC meeting request pending,The status of my rdc case has not progressed. I need confirmation from the concerned office.,RDC,RDC,True,train
595,Issue regarding doctoral supervision,My request for a supervisor change requires review. I have already submitted the required request.,Supervisor_Related,Supervisor_Related,True,validation
970,Research Advisory Committee request pending,The research advisory committee process has not been communicated. I need the concerned office to confirm the next step.,RAC,RAC,True,train
1539,Issue with thesis submission,The thesis submission status is showing an incorrect status. I need confirmation that the submission was received.,Thesis_Submission,Thesis_Submission,True,train
2324,Payment record not updated,The fee transaction in the portal appears to contain an incorrect amount. I have the transaction details available.,Fee,Fee,True,train
2888,Problem with RTI/IIGRS submission,My rti/iigrs case has not received a response. I am waiting for an official response.,RTI_IIGRS,RTI_IIGRS,True,test
355,Problem with doctoral enrollment,My doctoral registration status is still pending. I need the registration to be completed for my research work.,Registration,Registration,True,train
175,Admission application not updated,My phd admission request is still pending. I submitted all required documents on time.,PhD_Admission,PhD_Admission,True,train
1403,Thesis submission status pending,The doctoral thesis submission record is showing an incorrect status. I submitted the required documents successfully.,Thesis_Submission,Thesis_Submission,True,train
507,Request for supervisor change,The supervisor assigned to my phd is causing difficulty in continuing my research. I have already submitted the required request.,Supervisor_Related,Supervisor_Related,True,validation
2823,IIGRS grievance status issue,The status of my iigrs request requires clarification. I would like the concerned office to verify the matter.,RTI_IIGRS,RTI_IIGRS,True,train
1557,Issue with thesis submission,My thesis submission requires confirmation. The thesis was submitted through the prescribed process.,Thesis_Submission,Thesis_Submission,True,train
1698,Thesis evaluation not updated,The thesis assessment process requires clarification. I have not received an official evaluation status.,Thesis_Evaluation,Thesis_Evaluation,True,train
573,Supervisor details not updated,The supervisor information in the portal needs correction. The current information does not match my records.,Supervisor_Related,Supervisor_Related,True,validation
1573,Issue with thesis submission,My submitted thesis documents is not visible in the portal. The submission deadline has already passed.,Thesis_Submission,Thesis_Submission,True,test
1072,RDC proposal status not updated,The status of my rdc case requires clarification. The delay is affecting my research schedule.,RDC,RDC,True,validation
3008,General doctoral process grievance,My research-related request is still pending. I am requesting appropriate guidance on the next step.,Other,Other,True,train
388,Research registration pending,The research enrollment process has not been processed. All requested information has been submitted.,Registration,Registration,True,train
1992,Viva status pending,The viva schedule is awaiting confirmation. I have completed the required pre-viva formalities.,Viva,Viva,True,test
2931,RTI/IIGRS grievance pending,My rti-related matter is awaiting action. The current status has not changed.,RTI_IIGRS,RTI_IIGRS,True,train
1447,Thesis submission process delayed,The thesis submission status requires confirmation. I submitted the required documents successfully.,Thesis_Submission,Thesis_Submission,True,train
2839,IIGRS grievance status issue,The rti request submitted through the concerned process has not been updated. I have the submission reference available.,RTI_IIGRS,RTI_IIGRS,True,train
185,Problem during doctoral admission,My phd admission approval has not been updated. I have not received any further update.,PhD_Admission,PhD_Admission,True,train
255,PhD registration issue,My phd registration is showing an error. The required documents are already available.,Registration,Registration,True,train
508,Request for supervisor change,The supervisor assigned to my phd needs correction. I have already submitted the required request.,Supervisor_Related,Supervisor_Related,True,train
443,Issue regarding doctoral supervision,The doctoral supervision process has not been updated. I need clarification before proceeding with my research.,Supervisor_Related,Supervisor_Related,True,train
946,RAC approval pending,My rac schedule requires review. I have been waiting for an official update.,RAC,RAC,True,test
1731,Issue with thesis evaluation,The status of my thesis review is still pending. I have not received an official evaluation status.,Thesis_Evaluation,Thesis_Evaluation,True,train
810,RAC approval pending,My rac meeting needs clarification. I submitted the relevant research documents.,RAC,RAC,True,test
315,PhD registration issue,The registration details in the portal is showing an error. All requested information has been submitted.,Registration,Registration,True,train
632,Course work marks not reflected,The coursework classes are showing an incorrect value. I have supporting records for the completed work.,Course_Work,Course_Work,True,validation
1207,Publication record verification issue,The verification of my published paper requires clarification. I have already provided the required evidence.,Publication_Verification,Publication_Verification,True,validation
45,Unable to complete PhD admission,The admission status in the research portal is awaiting verification. I submitted all required documents on time.,PhD_Admission,PhD_Admission,True,test
2416,Fellowship payment delayed,My pending stipend has not been updated. I have not received any update from the concerned office.,Fellowship,Fellowship,True,test
597,Supervisor allocation issue,My research supervisor allocation has not been finalized. The current information does not match my records.,Supervisor_Related,Supervisor_Related,True,test
140,Problem during doctoral admission,The doctoral admission process has not been updated. I have already completed the required admission steps.,PhD_Admission,PhD_Admission,True,train
1152,Research Degree Committee issue,The rdc approval process has not been communicated. The required research documents have already been submitted.,RDC,RDC,True,train
2523,Problem with monthly stipend,My monthly stipend has not been credited. The previous payments were processed normally.,Fellowship,Fellowship,True,train
2326,Research fee status pending,My research fee payment is not reflected. The payment was made before the deadline.,Fee,Fee,True,test
2720,Incorrect personal information in portal,My doctoral profile does not match my official documents. The discrepancy is visible in my portal profile.,Portal_Data_Correction,Portal_Data_Correction,True,train
2595,Fellowship status pending,My research fellowship payment is still pending. The previous payments were processed normally.,Fellowship,Fellowship,True,test
1941,Viva examination not scheduled,My doctoral defense is awaiting confirmation. My thesis evaluation has already progressed.,Viva,Viva,True,validation
415,Problem with research supervisor,The doctoral supervision process requires review. I have not received a clear update from the concerned office.,Supervisor_Related,Supervisor_Related,True,train
2253,Fee transaction issue,The fee transaction in the portal is still pending. The payment was made before the deadline.,Fee,Fee,True,validation
706,Course work credit issue,My coursework completion status are still pending. The issue is affecting my research progress.,Course_Work,Course_Work,True,validation
2863,RTI matter not updated,The status of my iigrs request has not been updated. I have the submission reference available.,RTI_IIGRS,RTI_IIGRS,True,train
3188,Other research administration issue,My research administration matter has not been resolved. The issue is affecting my research work.,Other,Other,True,train
1719,Thesis evaluation delayed,My thesis evaluation record appears to be delayed. I have not received an official evaluation status.,Thesis_Evaluation,Thesis_Evaluation,True,train
2443,Fellowship status pending,My monthly stipend is showing an incorrect status. I have not received any update from the concerned office.,Fellowship,Fellowship,True,train
888,RAC schedule not received,The recommendations recorded by the rac has not been updated. I have been waiting for an official update.,RAC,RAC,True,validation
2744,Incorrect doctoral record,My name and academic details contains incorrect information. The incorrect information may affect official records.,Portal_Data_Correction,Portal_Data_Correction,True,validation
694,Course work status not updated,The coursework classes have not been updated. I have supporting records for the completed work.,Course_Work,Course_Work,True,validation
2625,Research portal details need correction,My doctoral profile contains incorrect information. The discrepancy is visible in my portal profile.,Portal_Data_Correction,Portal_Data_Correction,True,train
2020,Full-time part-time status change,The research mode recorded in the portal has not been updated. I am waiting for confirmation from the concerned office.,FT_PT_Conversion,FT_PT_Conversion,True,train
2465,Research fellowship issue,My scholarship payment is showing an incorrect status. The delay is causing difficulty in managing my research expenses.,Fellowship,Fellowship,True,train
2929,IIGRS request pending,My iigrs grievance requires clarification. I have the submission reference available.,RTI_IIGRS,RTI_IIGRS,True,train
2211,Research fee status pending,The payment status has not been updated. I have the transaction details available.,Fee,Fee,True,train
1707,Thesis evaluation delayed,The status of my thesis review is still pending. My thesis has already been submitted.,Thesis_Evaluation,Thesis_Evaluation,True,train
480,Supervisor allocation issue,My supervision arrangement is still pending. I need clarification before proceeding with my research.,Supervisor_Related,Supervisor_Related,True,train
1438,Thesis submission status pending,My thesis submission is showing an incorrect status. I need confirmation that the submission was received.,Thesis_Submission,Thesis_Submission,True,test
53,PhD admission application pending,My doctoral admission application is showing an incorrect status. I have already completed the required admission steps.,PhD_Admission,PhD_Admission,True,train
241,Unable to complete research registration,The registration details in the portal is still pending. The registration deadline is approaching.,Registration,Registration,True,train
2650,Incorrect doctoral record,My personal information in the research portal has not been corrected. I request the concerned office to update the record.,Portal_Data_Correction,Portal_Data_Correction,True,train
52,Issue with PhD admission status,The admission status in the research portal has not moved to the next stage. I have not received any further update.,PhD_Admission,PhD_Admission,True,train
1964,Problem regarding doctoral defense,My doctoral defense has not been scheduled. The delay is affecting completion of my PhD.,Viva,Viva,True,train
64,Issue with PhD admission status,The doctoral admission process has not been updated. The application was submitted before the deadline.,PhD_Admission,PhD_Admission,True,test
2999,IIGRS grievance status issue,The status of my iigrs request has not been processed. I am waiting for an official response.,RTI_IIGRS,RTI_IIGRS,True,validation
195,Problem during doctoral admission,My phd admission approval has not been approved. I submitted all required documents on time.,PhD_Admission,PhD_Admission,True,test
450,Supervisor assignment pending,The supervisor assigned to my phd is still pending. I have not received a clear update from the concerned office.,Supervisor_Related,Supervisor_Related,True,train
2441,Problem with monthly stipend,My monthly stipend requires clarification. I have completed the required fellowship formalities.,Fellowship,Fellowship,True,train
1468,Thesis submission record missing,My thesis submission requires confirmation. The issue is preventing me from moving to the next stage.,Thesis_Submission,Thesis_Submission,True,validation
1345,Paper verification request delayed,My publication record has not been processed. I need the verification for my academic record.,Publication_Verification,Publication_Verification,True,train
240,Problem with doctoral enrollment,The registration details in the portal has not been processed. The required documents are already available.,Registration,Registration,True,train
1661,Thesis evaluation delayed,My thesis evaluation is still pending. The delay is affecting the next stage of my doctoral process.,Thesis_Evaluation,Thesis_Evaluation,True,train
121,Problem during doctoral admission,The admission status in the research portal has not been updated. The required documents were uploaded successfully.,PhD_Admission,PhD_Admission,True,test
2167,Request to change research mode,My research status conversion is still pending. The request was submitted through the prescribed process.,FT_PT_Conversion,FT_PT_Conversion,True,train
325,Problem with doctoral enrollment,My phd registration is still pending. The required documents are already available.,Registration,Registration,True,train
963,RAC approval pending,The research advisory committee process has not been communicated. I have completed the required preparation.,RAC,RAC,True,train
299,Research registration pending,The registration details in the portal is showing an error. I need the registration to be completed for my research work.,Registration,Registration,True,train
71,Admission application not updated,My admission documents has not moved to the next stage. I have already completed the required admission steps.,PhD_Admission,PhD_Admission,True,train
1134,Research Degree Committee issue,My research degree committee review has not progressed. I have been waiting for the committee's decision.,RDC,RDC,True,test
677,Problem with course credits,My coursework completion status are missing from my record. I need the academic record corrected.,Course_Work,Course_Work,True,validation
1139,Problem regarding RDC decision,My research matter before the rdc is still pending. The delay is affecting my research schedule.,RDC,RDC,True,validation
1781,Thesis review status pending,The evaluation of my doctoral thesis has not been updated. I have not received an official evaluation status.,Thesis_Evaluation,Thesis_Evaluation,True,validation
271,PhD registration issue,The research enrollment process is showing an error. I need the registration to be completed for my research work.,Registration,Registration,True,train
179,Unable to complete PhD admission,My admission documents has not been updated. The application was submitted before the deadline.,PhD_Admission,PhD_Admission,True,train
2335,Research fee payment issue,The payment status is not reflected. The amount was already paid successfully.,Fee,Fee,True,train
865,Problem with RAC proceedings,My rac approval needs clarification. I need the concerned office to confirm the next step.,RAC,RAC,True,validation
2922,RTI matter not updated,The status of my iigrs request has not been processed. I have the submission reference available.,RTI_IIGRS,RTI_IIGRS,True,train
1318,Research paper verification issue,The publication documents submitted for verification has not been completed. I have already provided the required evidence.,Publication_Verification,Publication_Verification,True,validation
292,Registration status not updated,My registration request is not reflecting the submitted information. I need the registration to be completed for my research work.,Registration,Registration,True,train
1272,Publication verification not completed,My publication record requires clarification. I have already provided the required evidence.,Publication_Verification,Publication_Verification,True,train
2980,RTI matter not updated,My rti/iigrs case has not received a response. I submitted the request through the appropriate channel.,RTI_IIGRS,RTI_IIGRS,True,train
1994,Viva voce scheduling issue,The viva schedule has not been updated. I have not received the examination schedule.,Viva,Viva,True,train
1801,Viva examination not scheduled,The defense process has not been scheduled. I have not received the examination schedule.,Viva,Viva,True,train
1004,Problem regarding RDC decision,The status of my rdc case has not been communicated. The required research documents have already been submitted.,RDC,RDC,True,train
2814,Problem with RTI/IIGRS submission,My iigrs grievance has not received a response. I would like the concerned office to verify the matter.,RTI_IIGRS,RTI_IIGRS,True,train
458,Issue regarding doctoral supervision,My research supervisor allocation requires review. I have already submitted the required request.,Supervisor_Related,Supervisor_Related,True,train
528,Request for supervisor change,The supervisor information in the portal is still pending. I need clarification before proceeding with my research.,Supervisor_Related,Supervisor_Related,True,train
1949,Doctoral defense date not received,The viva schedule has not been scheduled. I have completed the required pre-viva formalities.,Viva,Viva,True,train
2607,Portal record correction request,My doctoral profile contains incorrect information. I submitted a correction request earlier.,Portal_Data_Correction,Portal_Data_Correction,True,train
2755,Research portal data correction,My personal information in the research portal contains incorrect information. I submitted a correction request earlier.,Portal_Data_Correction,Portal_Data_Correction,True,train
927,RAC meeting issue,The research advisory committee process is still pending. I have been waiting for an official update.,RAC,RAC,True,train
2196,Problem with research status conversion,My request for a change of research status is still pending. The request was submitted through the prescribed process.,FT_PT_Conversion,FT_PT_Conversion,True,train
679,Course work registration problem,My coursework completion status are still pending. The concerned course has already been completed.,Course_Work,Course_Work,True,train
219,Registration request not processed,The research enrollment process is showing an error. The registration deadline is approaching.,Registration,Registration,True,train
2255,Research fee status pending,My doctoral fee record is not reflected. The payment was made before the deadline.,Fee,Fee,True,train
1508,Thesis submission process delayed,My thesis submission has not been acknowledged. The thesis was submitted through the prescribed process.,Thesis_Submission,Thesis_Submission,True,train
2468,Stipend not credited,The fellowship record has not been credited. The payment was expected for the current month.,Fellowship,Fellowship,True,train
411,Issue regarding doctoral supervision,The supervisor information in the portal requires review. I have already submitted the required request.,Supervisor_Related,Supervisor_Related,True,train
347,Unable to complete research registration,My enrollment record is still pending. The required documents are already available.,Registration,Registration,True,train
1767,Thesis evaluation not updated,The status of my thesis review has not been completed. I have been waiting for the evaluation update.,Thesis_Evaluation,Thesis_Evaluation,True,train
1243,Research paper verification issue,My research publication verification is still pending. I need the verification for my academic record.,Publication_Verification,Publication_Verification,True,train
728,Issue with research classes,My research coursework are missing from my record. The issue is affecting my research progress.,Course_Work,Course_Work,True,train
1663,Issue with thesis evaluation,The status of my thesis review requires clarification. I would like the concerned office to verify the current status.,Thesis_Evaluation,Thesis_Evaluation,True,train
323,Registration request not processed,My phd registration has not been updated. The required documents are already available.,Registration,Registration,True,train
3053,Unclassified research-related issue,An issue related to my doctoral process requires clarification. I have submitted the relevant documents.,Other,Other,True,train
77,PhD admission approval delayed,My doctoral admission application has not been approved. The application was submitted before the deadline.,PhD_Admission,PhD_Admission,True,train
1860,Viva status pending,My viva status has not been updated. The delay is affecting completion of my PhD.,Viva,Viva,True,train
1115,RDC proposal status not updated,The status of my rdc case appears to be awaiting review. The delay is affecting my research schedule.,RDC,RDC,True,train
1037,RDC approval pending,My research matter before the rdc requires clarification. I need confirmation from the concerned office.,RDC,RDC,True,train
145,PhD admission application pending,The doctoral admission process is awaiting verification. I submitted all required documents on time.,PhD_Admission,PhD_Admission,True,train
204,Unable to complete research registration,My doctoral registration status is still pending. I have completed the required registration steps.,Registration,Registration,True,train
433,Supervisor assignment pending,The supervisor information in the portal has not been finalized. The matter has remained unresolved for several days.,Supervisor_Related,Supervisor_Related,True,validation
46,Unable to complete PhD admission,My doctoral admission application has not moved to the next stage. I have already completed the required admission steps.,PhD_Admission,PhD_Admission,True,test
3055,Other research administration issue,My research-related request has not been resolved. I would like the matter to be reviewed.,Other,Other,True,train
2699,Incorrect doctoral record,My name and academic details does not match my official documents. I submitted a correction request earlier.,Portal_Data_Correction,Portal_Data_Correction,True,train
1768,Thesis evaluation not updated,The evaluation of my doctoral thesis requires clarification. My thesis has already been submitted.,Thesis_Evaluation,Thesis_Evaluation,True,test
3190,Issue not covered by listed categories,An issue related to my doctoral process does not fit the available grievance categories. I have submitted the relevant documents.,Other,Other,True,train
2954,Issue related to RTI request,My iigrs grievance has not been processed. I am waiting for an official response.,RTI_IIGRS,RTI_IIGRS,True,train
1879,Viva status pending,My viva examination date has not been updated. I need confirmation of the next step.,Viva,Viva,True,train
2552,Problem with monthly stipend,The fellowship amount has not been released. The payment was expected for the current month.,Fellowship,Fellowship,True,train
1337,Problem verifying research publication,My publication record has not been completed. The publication details are available for verification.,Publication_Verification,Publication_Verification,True,train
153,Problem during doctoral admission,The admission status in the research portal is still pending. I have already completed the required admission steps.,PhD_Admission,PhD_Admission,True,train
2953,Problem with RTI/IIGRS submission,My iigrs grievance is still pending. I have the submission reference available.,RTI_IIGRS,RTI_IIGRS,True,test
2041,Full-time part-time status change,My research status conversion requires approval. I am waiting for confirmation from the concerned office.,FT_PT_Conversion,FT_PT_Conversion,True,test
943,Problem with RAC proceedings,The research advisory committee process needs clarification. The matter is affecting my research timeline.,RAC,RAC,True,train
1934,Viva examination not scheduled,My viva status is awaiting confirmation. I have completed the required pre-viva formalities.,Viva,Viva,True,validation
1234,Publication verification pending,My research article verification has not been updated. The publication details are available for verification.,Publication_Verification,Publication_Verification,True,train
766,Issue with research classes,The coursework marks in the portal are still pending. The issue is affecting my research progress.,Course_Work,Course_Work,True,train
3068,General research grievance,An issue related to my doctoral process has not received a response. I am requesting appropriate guidance on the next step.,Other,Other,True,train
1,PhD admission approval delayed,The admission status in the research portal is awaiting verification. I have not received any further update.,PhD_Admission,PhD_Admission,True,train
2339,Fee payment not reflected,The fee receipt has not generated a receipt. I need the fee record corrected.,Fee,Fee,True,train
