id,title,description,category,category_label,is_synthetic,split,text,cluster_id
2006,Full-time to part-time conversion request,The research mode recorded in the portal is still pending. The supporting documents have already been provided.,FT_PT_Conversion,FT_PT_Conversion,True,train,Full-time to part-time conversion request. The research mode recorded in the portal is still pending. The supporting documents have already been provided.,10
2896,RTI/IIGRS grievance pending,The status of my iigrs request has not been updated. I have the submission reference available.,RTI_IIGRS,RTI_IIGRS,True,test,RTI/IIGRS grievance pending. The status of my iigrs request has not been updated. I have the submission reference available.,5
2853,IIGRS request pending,My rti-related matter is awaiting action. I am waiting for an official response.,RTI_IIGRS,RTI_IIGRS,True,train,IIGRS request pending. My rti-related matter is awaiting action. I am waiting for an official response.,5
2646,Incorrect doctoral record,My personal information in the research portal does not match my official documents. The discrepancy is visible in my portal profile.,Portal_Data_Correction,Portal_Data_Correction,True,test,Incorrect doctoral record. My personal information in the research portal does not match my official documents. The discrepancy is visible in my portal profile.,9
290,Registration request not processed,The research enrollment process has not been updated. I need the registration to be completed for my research work.,Registration,Registration,True,train,Registration request not processed. The research enrollment process has not been updated. I need the registration to be completed for my research work.,13
487,Problem with research supervisor,The doctoral supervision process needs correction. I have already submitted the required request.,Supervisor_Related,Supervisor_Related,True,train,Problem with research supervisor. The doctoral supervision process needs correction. I have already submitted the required request.,16
2186,Problem with research status conversion,My research status conversion requires approval. The request was submitted through the prescribed process.,FT_PT_Conversion,FT_PT_Conversion,True,train,Problem with research status conversion. My research status conversion requires approval. The request was submitted through the prescribed process.,10
1422,Thesis submission not updated,The doctoral thesis submission record has not been updated. I submitted the required documents successfully.,Thesis_Submission,Thesis_Submission,True,test,Thesis submission not updated. The doctoral thesis submission record has not been updated. I submitted the required documents successfully.,7
1812,Viva examination not scheduled,The defense process requires clarification. I have completed the required pre-viva formalities.,Viva,Viva,True,train,Viva examination not scheduled. The defense process requires clarification. I have completed the required pre-viva formalities.,8
496,Request for supervisor change,My supervision arrangement is still pending. I have not received a clear update from the concerned office.,Supervisor_Related,Supervisor_Related,True,train,Request for supervisor change. My supervision arrangement is still pending. I have not received a clear update from the concerned office.,16
1095,Issue with RDC review,My research matter before the rdc has not been updated. I have been waiting for the committee's decision.,RDC,RDC,True,test,Issue with RDC review. My research matter before the rdc has not been updated. I have been waiting for the committee's decision.,11
3115,Issue not covered by listed categories,An issue related to my doctoral process is still pending. I have submitted the relevant documents.,Other,Other,True,train,Issue not covered by listed categories. An issue related to my doctoral process is still pending. I have submitted the relevant documents.,17
2070,Full-time part-time status change,My request for a change of research status is showing the old status. I submitted the required application.,FT_PT_Conversion,FT_PT_Conversion,True,validation,Full-time part-time status change. My request for a change of research status is showing the old status. I submitted the required application.,10
333,Problem with doctoral enrollment,My enrollment record has not been processed. I need the registration to be completed for my research work.,Registration,Registration,True,train,Problem with doctoral enrollment. My enrollment record has not been processed. I need the registration to be completed for my research work.,13
2204,Problem with doctoral fee,My doctoral fee record is showing as unpaid. The amount was already paid successfully.,Fee,Fee,True,train,Problem with doctoral fee. My doctoral fee record is showing as unpaid. The amount was already paid successfully.,6
1492,Issue with thesis submission,My submitted thesis documents has not been updated. I submitted the required documents successfully.,Thesis_Submission,Thesis_Submission,True,test,Issue with thesis submission. My submitted thesis documents has not been updated. I submitted the required documents successfully.,7
257,Problem with doctoral enrollment,The research enrollment process has not been processed. All requested information has been submitted.,Registration,Registration,True,train,Problem with doctoral enrollment. The research enrollment process has not been processed. All requested information has been submitted.,13
901,RAC schedule not received,The next rac meeting has not been communicated. I submitted the relevant research documents.,RAC,RAC,True,train,RAC schedule not received. The next rac meeting has not been communicated. I submitted the relevant research documents.,4
3028,General doctoral process grievance,An administrative issue concerning my research has not been resolved. The issue is affecting my research work.,Other,Other,True,train,General doctoral process grievance. An administrative issue concerning my research has not been resolved. The issue is affecting my research work.,2
539,Supervisor assignment pending,My research supervisor allocation has not been finalized. The matter has remained unresolved for several days.,Supervisor_Related,Supervisor_Related,True,validation,Supervisor assignment pending. My research supervisor allocation has not been finalized. The matter has remained unresolved for several days.,16
1290,Paper verification request delayed,My publication record has not been updated. I have already provided the required evidence.,Publication_Verification,Publication_Verification,True,train,Paper verification request delayed. My publication record has not been updated. I have already provided the required evidence.,3
1749,Thesis evaluation not updated,My thesis review status requires clarification. I have been waiting for the evaluation update.,Thesis_Evaluation,Thesis_Evaluation,True,test,Thesis evaluation not updated. My thesis review status requires clarification. I have been waiting for the evaluation update.,1
2969,Problem with RTI/IIGRS submission,My grievance under the rti/iigrs process requires clarification. I am waiting for an official response.,RTI_IIGRS,RTI_IIGRS,True,train,Problem with RTI/IIGRS submission. My grievance under the rti/iigrs process requires clarification. I am waiting for an official response.,5
643,Course work registration problem,The coursework classes are not reflected correctly. The issue is affecting my research progress.,Course_Work,Course_Work,True,train,Course work registration problem. The coursework classes are not reflected correctly. The issue is affecting my research progress.,0
2315,Payment record not updated,The payment status is still pending. The issue is preventing completion of the required process.,Fee,Fee,True,train,Payment record not updated. The payment status is still pending. The issue is preventing completion of the required process.,6
1591,Thesis submission status pending,My thesis submission is not visible in the portal. The submission deadline has already passed.,Thesis_Submission,Thesis_Submission,True,train,Thesis submission status pending. My thesis submission is not visible in the portal. The submission deadline has already passed.,7
1360,Paper verification request delayed,My research publication verification requires clarification. I have already provided the required evidence.,Publication_Verification,Publication_Verification,True,validation,Paper verification request delayed. My research publication verification requires clarification. I have already provided the required evidence.,3
2189,Problem with research status conversion,My request for a change of research status has not been updated. The request was submitted through the prescribed process.,FT_PT_Conversion,FT_PT_Conversion,True,train,Problem with research status conversion. My request for a change of research status has not been updated. The request was submitted through the prescribed process.,10
1412,Problem submitting doctoral thesis,The doctoral thesis submission record requires confirmation. The submission deadline has already passed.,Thesis_Submission,Thesis_Submission,True,train,Problem submitting doctoral thesis. The doctoral thesis submission record requires confirmation. The submission deadline has already passed.,7
3044,General research grievance,My research administration matter is still pending. The issue is affecting my research work.,Other,Other,True,train,General research grievance. My research administration matter is still pending. The issue is affecting my research work.,2
322,Unable to complete research registration,The research enrollment process cannot be completed. I need the registration to be completed for my research work.,Registration,Registration,True,validation,Unable to complete research registration. The research enrollment process cannot be completed. I need the registration to be completed for my research work.,13
1136,RDC approval pending,My research matter before the rdc has not been communicated. The matter was submitted through the prescribed process.,RDC,RDC,True,test,RDC approval pending. My research matter before the rdc has not been communicated. The matter was submitted through the prescribed process.,11
1804,Issue with viva examination,The viva schedule is awaiting confirmation. The delay is affecting completion of my PhD.,Viva,Viva,True,train,Issue with viva examination. The viva schedule is awaiting confirmation. The delay is affecting completion of my PhD.,8
1560,Thesis submission process delayed,The doctoral thesis submission record has not been updated. I need confirmation that the submission was received.,Thesis_Submission,Thesis_Submission,True,train,Thesis submission process delayed. The doctoral thesis submission record has not been updated. I need confirmation that the submission was received.,7
568,Issue regarding doctoral supervision,My request for a supervisor change has not been finalized. I have already submitted the required request.,Supervisor_Related,Supervisor_Related,True,train,Issue regarding doctoral supervision. My request for a supervisor change has not been finalized. I have already submitted the required request.,16
512,Request for supervisor change,My supervision arrangement is causing difficulty in continuing my research. The matter has remained unresolved for several days.,Supervisor_Related,Supervisor_Related,True,test,Request for supervisor change. My supervision arrangement is causing difficulty in continuing my research. The matter has remained unresolved for several days.,16
252,Unable to complete research registration,My registration request is showing an error. I have completed the required registration steps.,Registration,Registration,True,train,Unable to complete research registration. My registration request is showing an error. I have completed the required registration steps.,13
258,Registration request not processed,My doctoral registration status is still pending. The required documents are already available.,Registration,Registration,True,train,Registration request not processed. My doctoral registration status is still pending. The required documents are already available.,13
533,Problem with research supervisor,My research supervisor allocation is causing difficulty in continuing my research. The current information does not match my records.,Supervisor_Related,Supervisor_Related,True,train,Problem with research supervisor. My research supervisor allocation is causing difficulty in continuing my research. The current information does not match my records.,16
1473,Thesis submission not updated,The doctoral thesis submission record has not been acknowledged. The thesis was submitted through the prescribed process.,Thesis_Submission,Thesis_Submission,True,train,Thesis submission not updated. The doctoral thesis submission record has not been acknowledged. The thesis was submitted through the prescribed process.,7
1798,Thesis review status pending,The status of my thesis review has not been updated. The delay is affecting the next stage of my doctoral process.,Thesis_Evaluation,Thesis_Evaluation,True,train,Thesis review status pending. The status of my thesis review has not been updated. The delay is affecting the next stage of my doctoral process.,1
3136,Research administration problem,An administrative issue concerning my research has not received a response. I am requesting appropriate guidance on the next step.,Other,Other,True,train,Research administration problem. An administrative issue concerning my research has not received a response. I am requesting appropriate guidance on the next step.,17
565,Request for supervisor change,The doctoral supervision process has not been finalized. I have not received a clear update from the concerned office.,Supervisor_Related,Supervisor_Related,True,test,Request for supervisor change. The doctoral supervision process has not been finalized. I have not received a clear update from the concerned office.,16
1799,Delay in doctoral thesis assessment,The thesis assessment process has not been updated. I have not received an official evaluation status.,Thesis_Evaluation,Thesis_Evaluation,True,validation,Delay in doctoral thesis assessment. The thesis assessment process has not been updated. I have not received an official evaluation status.,1
1426,Issue with thesis submission,The final thesis submission process is showing an incorrect status. I submitted the required documents successfully.,Thesis_Submission,Thesis_Submission,True,train,Issue with thesis submission. The final thesis submission process is showing an incorrect status. I submitted the required documents successfully.,7
1211,Problem verifying research publication,My research article verification has not been completed. The delay is affecting my research documentation.,Publication_Verification,Publication_Verification,True,train,Problem verifying research publication. My research article verification has not been completed. The delay is affecting my research documentation.,3
1838,Issue with viva examination,My viva voce examination is still pending. I have not received the examination schedule.,Viva,Viva,True,validation,Issue with viva examination. My viva voce examination is still pending. I have not received the examination schedule.,8
868,RAC schedule not received,My rac schedule has not been updated. I submitted the relevant research documents.,RAC,RAC,True,train,RAC schedule not received. My rac schedule has not been updated. I submitted the relevant research documents.,4
135,PhD admission application pending,My admission documents has not moved to the next stage. The required documents were uploaded successfully.,PhD_Admission,PhD_Admission,True,train,PhD admission application pending. My admission documents has not moved to the next stage. The required documents were uploaded successfully.,12
264,Problem with doctoral enrollment,My registration request has not been updated. The required documents are already available.,Registration,Registration,True,train,Problem with doctoral enrollment. My registration request has not been updated. The required documents are already available.,13
1265,Paper verification request delayed,My research article verification has not been processed. I submitted the publication documents as requested.,Publication_Verification,Publication_Verification,True,test,Paper verification request delayed. My research article verification has not been processed. I submitted the publication documents as requested.,3
890,RAC meeting issue,My rac meeting needs clarification. I have completed the required preparation.,RAC,RAC,True,train,RAC meeting issue. My rac meeting needs clarification. I have completed the required preparation.,4
2852,RTI matter not updated,My iigrs grievance has not been processed. I would like the concerned office to verify the matter.,RTI_IIGRS,RTI_IIGRS,True,train,RTI matter not updated. My iigrs grievance has not been processed. I would like the concerned office to verify the matter.,5
1432,Thesis submission status pending,The final thesis submission process is still pending. The submission deadline has already passed.,Thesis_Submission,Thesis_Submission,True,train,Thesis submission status pending. The final thesis submission process is still pending. The submission deadline has already passed.,7
300,Registration status not updated,My doctoral registration status is showing an error. All requested information has been submitted.,Registration,Registration,True,train,Registration status not updated. My doctoral registration status is showing an error. All requested information has been submitted.,13
2012,Part-time conversion pending,My full-time to part-time conversion application is showing the old status. I need the change to be reflected in my academic record.,FT_PT_Conversion,FT_PT_Conversion,True,train,Part-time conversion pending. My full-time to part-time conversion application is showing the old status. I need the change to be reflected in my academic record.,10
2765,Portal record correction request,My doctoral profile has not been corrected. I have the correct supporting document.,Portal_Data_Correction,Portal_Data_Correction,True,train,Portal record correction request. My doctoral profile has not been corrected. I have the correct supporting document.,9
1724,Problem regarding thesis evaluation,The status of my thesis review has not been completed. My thesis has already been submitted.,Thesis_Evaluation,Thesis_Evaluation,True,train,Problem regarding thesis evaluation. The status of my thesis review has not been completed. My thesis has already been submitted.,1
431,Supervisor allocation issue,The supervisor assigned to my phd has not been finalized. I have not received a clear update from the concerned office.,Supervisor_Related,Supervisor_Related,True,train,Supervisor allocation issue. The supervisor assigned to my phd has not been finalized. I have not received a clear update from the concerned office.,16
1488,Thesis submission process delayed,My thesis upload has not been acknowledged. The submission deadline has already passed.,Thesis_Submission,Thesis_Submission,True,test,Thesis submission process delayed. My thesis upload has not been acknowledged. The submission deadline has already passed.,7
1503,Problem submitting doctoral thesis,My thesis upload has not been updated. The submission deadline has already passed.,Thesis_Submission,Thesis_Submission,True,train,Problem submitting doctoral thesis. My thesis upload has not been updated. The submission deadline has already passed.,7
2906,Issue related to RTI request,The status of my iigrs request has not been updated. I submitted the request through the appropriate channel.,RTI_IIGRS,RTI_IIGRS,True,train,Issue related to RTI request. The status of my iigrs request has not been updated. I submitted the request through the appropriate channel.,5
2316,Fee payment not reflected,The payment status has not been updated. The issue is preventing completion of the required process.,Fee,Fee,True,train,Fee payment not reflected. The payment status has not been updated. The issue is preventing completion of the required process.,6
2263,Payment record not updated,My semester research fee is still pending. I have the transaction details available.,Fee,Fee,True,train,Payment record not updated. My semester research fee is still pending. I have the transaction details available.,6
1386,Research paper verification issue,My research article verification is awaiting verification. I have already provided the required evidence.,Publication_Verification,Publication_Verification,True,train,Research paper verification issue. My research article verification is awaiting verification. I have already provided the required evidence.,3
1365,Research paper verification issue,The publication documents submitted for verification requires clarification. The delay is affecting my research documentation.,Publication_Verification,Publication_Verification,True,test,Research paper verification issue. The publication documents submitted for verification requires clarification. The delay is affecting my research documentation.,3
1299,Paper verification request delayed,My research article verification is awaiting verification. I have already provided the required evidence.,Publication_Verification,Publication_Verification,True,test,Paper verification request delayed. My research article verification is awaiting verification. I have already provided the required evidence.,3
1868,Doctoral defense date not received,My viva voce examination is awaiting confirmation. My thesis evaluation has already progressed.,Viva,Viva,True,train,Doctoral defense date not received. My viva voce examination is awaiting confirmation. My thesis evaluation has already progressed.,15
930,RAC meeting issue,My rac approval has not been updated. I need the concerned office to confirm the next step.,RAC,RAC,True,validation,RAC meeting issue. My rac approval has not been updated. I need the concerned office to confirm the next step.,4
369,PhD registration issue,My phd registration has not been updated. The registration deadline is approaching.,Registration,Registration,True,validation,PhD registration issue. My phd registration has not been updated. The registration deadline is approaching.,13
1789,Issue with thesis evaluation,My thesis evaluation has not progressed. The delay is affecting the next stage of my doctoral process.,Thesis_Evaluation,Thesis_Evaluation,True,train,Issue with thesis evaluation. My thesis evaluation has not progressed. The delay is affecting the next stage of my doctoral process.,1
3129,Research administration problem,My doctoral administrative problem requires clarification. The issue is affecting my research work.,Other,Other,True,train,Research administration problem. My doctoral administrative problem requires clarification. The issue is affecting my research work.,17
3001,Unclassified research-related issue,My research-related request has not been resolved. I would like the matter to be reviewed.,Other,Other,True,test,Unclassified research-related issue. My research-related request has not been resolved. I would like the matter to be reviewed.,17
1081,RDC meeting request pending,The status of my rdc case has not progressed. I need confirmation from the concerned office.,RDC,RDC,True,train,RDC meeting request pending. The status of my rdc case has not progressed. I need confirmation from the concerned office.,11
595,Issue regarding doctoral supervision,My request for a supervisor change requires review. I have already submitted the required request.,Supervisor_Related,Supervisor_Related,True,validation,Issue regarding doctoral supervision. My request for a supervisor change requires review. I have already submitted the required request.,16
970,Research Advisory Committee request pending,The research advisory committee process has not been communicated. I need the concerned office to confirm the next step.,RAC,RAC,True,train,Research Advisory Committee request pending. The research advisory committee process has not been communicated. I need the concerned office to confirm the next step.,17
1539,Issue with thesis submission,The thesis submission status is showing an incorrect status. I need confirmation that the submission was received.,Thesis_Submission,Thesis_Submission,True,train,Issue with thesis submission. The thesis submission status is showing an incorrect status. I need confirmation that the submission was received.,7
2324,Payment record not updated,The fee transaction in the portal appears to contain an incorrect amount. I have the transaction details available.,Fee,Fee,True,train,Payment record not updated. The fee transaction in the portal appears to contain an incorrect amount. I have the transaction details available.,6
2888,Problem with RTI/IIGRS submission,My rti/iigrs case has not received a response. I am waiting for an official response.,RTI_IIGRS,RTI_IIGRS,True,test,Problem with RTI/IIGRS submission. My rti/iigrs case has not received a response. I am waiting for an official response.,5
355,Problem with doctoral enrollment,My doctoral registration status is still pending. I need the registration to be completed for my research work.,Registration,Registration,True,train,Problem with doctoral enrollment. My doctoral registration status is still pending. I need the registration to be completed for my research work.,13
175,Admission application not updated,My phd admission request is still pending. I submitted all required documents on time.,PhD_Admission,PhD_Admission,True,train,Admission application not updated. My phd admission request is still pending. I submitted all required documents on time.,12
1403,Thesis submission status pending,The doctoral thesis submission record is showing an incorrect status. I submitted the required documents successfully.,Thesis_Submission,Thesis_Submission,True,train,Thesis submission status pending. The doctoral thesis submission record is showing an incorrect status. I submitted the required documents successfully.,7
507,Request for supervisor change,The supervisor assigned to my phd is causing difficulty in continuing my research. I have already submitted the required request.,Supervisor_Related,Supervisor_Related,True,validation,Request for supervisor change. The supervisor assigned to my phd is causing difficulty in continuing my research. I have already submitted the required request.,16
2823,IIGRS grievance status issue,The status of my iigrs request requires clarification. I would like the concerned office to verify the matter.,RTI_IIGRS,RTI_IIGRS,True,train,IIGRS grievance status issue. The status of my iigrs request requires clarification. I would like the concerned office to verify the matter.,5
1557,Issue with thesis submission,My thesis submission requires confirmation. The thesis was submitted through the prescribed process.,Thesis_Submission,Thesis_Submission,True,train,Issue with thesis submission. My thesis submission requires confirmation. The thesis was submitted through the prescribed process.,7
1698,Thesis evaluation not updated,The thesis assessment process requires clarification. I have not received an official evaluation status.,Thesis_Evaluation,Thesis_Evaluation,True,train,Thesis evaluation not updated. The thesis assessment process requires clarification. I have not received an official evaluation status.,1
573,Supervisor details not updated,The supervisor information in the portal needs correction. The current information does not match my records.,Supervisor_Related,Supervisor_Related,True,validation,Supervisor details not updated. The supervisor information in the portal needs correction. The current information does not match my records.,16
1573,Issue with thesis submission,My submitted thesis documents is not visible in the portal. The submission deadline has already passed.,Thesis_Submission,Thesis_Submission,True,test,Issue with thesis submission. My submitted thesis documents is not visible in the portal. The submission deadline has already passed.,7
1072,RDC proposal status not updated,The status of my rdc case requires clarification. The delay is affecting my research schedule.,RDC,RDC,True,validation,RDC proposal status not updated. The status of my rdc case requires clarification. The delay is affecting my research schedule.,11
3008,General doctoral process grievance,My research-related request is still pending. I am requesting appropriate guidance on the next step.,Other,Other,True,train,General doctoral process grievance. My research-related request is still pending. I am requesting appropriate guidance on the next step.,2
388,Research registration pending,The research enrollment process has not been processed. All requested information has been submitted.,Registration,Registration,True,train,Research registration pending. The research enrollment process has not been processed. All requested information has been submitted.,13
1992,Viva status pending,The viva schedule is awaiting confirmation. I have completed the required pre-viva formalities.,Viva,Viva,True,test,Viva status pending. The viva schedule is awaiting confirmation. I have completed the required pre-viva formalities.,8
2931,RTI/IIGRS grievance pending,My rti-related matter is awaiting action. The current status has not changed.,RTI_IIGRS,RTI_IIGRS,True,train,RTI/IIGRS grievance pending. My rti-related matter is awaiting action. The current status has not changed.,5
1447,Thesis submission process delayed,The thesis submission status requires confirmation. I submitted the required documents successfully.,Thesis_Submission,Thesis_Submission,True,train,Thesis submission process delayed. The thesis submission status requires confirmation. I submitted the required documents successfully.,7
2839,IIGRS grievance status issue,The rti request submitted through the concerned process has not been updated. I have the submission reference available.,RTI_IIGRS,RTI_IIGRS,True,train,IIGRS grievance status issue. The rti request submitted through the concerned process has not been updated. I have the submission reference available.,5
185,Problem during doctoral admission,My phd admission approval has not been updated. I have not received any further update.,PhD_Admission,PhD_Admission,True,train,Problem during doctoral admission. My phd admission approval has not been updated. I have not received any further update.,12
255,PhD registration issue,My phd registration is showing an error. The required documents are already available.,Registration,Registration,True,train,PhD registration issue. My phd registration is showing an error. The required documents are already available.,13
508,Request for supervisor change,The supervisor assigned to my phd needs correction. I have already submitted the required request.,Supervisor_Related,Supervisor_Related,True,train,Request for supervisor change. The supervisor assigned to my phd needs correction. I have already submitted the required request.,16
443,Issue regarding doctoral supervision,The doctoral supervision process has not been updated. I need clarification before proceeding with my research.,Supervisor_Related,Supervisor_Related,True,train,Issue regarding doctoral supervision. The doctoral supervision process has not been updated. I need clarification before proceeding with my research.,16
946,RAC approval pending,My rac schedule requires review. I have been waiting for an official update.,RAC,RAC,True,test,RAC approval pending. My rac schedule requires review. I have been waiting for an official update.,4
1731,Issue with thesis evaluation,The status of my thesis review is still pending. I have not received an official evaluation status.,Thesis_Evaluation,Thesis_Evaluation,True,train,Issue with thesis evaluation. The status of my thesis review is still pending. I have not received an official evaluation status.,1
810,RAC approval pending,My rac meeting needs clarification. I submitted the relevant research documents.,RAC,RAC,True,test,RAC approval pending. My rac meeting needs clarification. I submitted the relevant research documents.,4
315,PhD registration issue,The registration details in the portal is showing an error. All requested information has been submitted.,Registration,Registration,True,train,PhD registration issue. The registration details in the portal is showing an error. All requested information has been submitted.,13
632,Course work marks not reflected,The coursework classes are showing an incorrect value. I have supporting records for the completed work.,Course_Work,Course_Work,True,validation,Course work marks not reflected. The coursework classes are showing an incorrect value. I have supporting records for the completed work.,0
1207,Publication record verification issue,The verification of my published paper requires clarification. I have already provided the required evidence.,Publication_Verification,Publication_Verification,True,validation,Publication record verification issue. The verification of my published paper requires clarification. I have already provided the required evidence.,3
45,Unable to complete PhD admission,The admission status in the research portal is awaiting verification. I submitted all required documents on time.,PhD_Admission,PhD_Admission,True,test,Unable to complete PhD admission. The admission status in the research portal is awaiting verification. I submitted all required documents on time.,12
2416,Fellowship payment delayed,My pending stipend has not been updated. I have not received any update from the concerned office.,Fellowship,Fellowship,True,test,Fellowship payment delayed. My pending stipend has not been updated. I have not received any update from the concerned office.,14
597,Supervisor allocation issue,My research supervisor allocation has not been finalized. The current information does not match my records.,Supervisor_Related,Supervisor_Related,True,test,Supervisor allocation issue. My research supervisor allocation has not been finalized. The current information does not match my records.,16
140,Problem during doctoral admission,The doctoral admission process has not been updated. I have already completed the required admission steps.,PhD_Admission,PhD_Admission,True,train,Problem during doctoral admission. The doctoral admission process has not been updated. I have already completed the required admission steps.,12
1152,Research Degree Committee issue,The rdc approval process has not been communicated. The required research documents have already been submitted.,RDC,RDC,True,train,Research Degree Committee issue. The rdc approval process has not been communicated. The required research documents have already been submitted.,11
2523,Problem with monthly stipend,My monthly stipend has not been credited. The previous payments were processed normally.,Fellowship,Fellowship,True,train,Problem with monthly stipend. My monthly stipend has not been credited. The previous payments were processed normally.,14
2326,Research fee status pending,My research fee payment is not reflected. The payment was made before the deadline.,Fee,Fee,True,test,Research fee status pending. My research fee payment is not reflected. The payment was made before the deadline.,6
2720,Incorrect personal information in portal,My doctoral profile does not match my official documents. The discrepancy is visible in my portal profile.,Portal_Data_Correction,Portal_Data_Correction,True,train,Incorrect personal information in portal. My doctoral profile does not match my official documents. The discrepancy is visible in my portal profile.,9
2595,Fellowship status pending,My research fellowship payment is still pending. The previous payments were processed normally.,Fellowship,Fellowship,True,test,Fellowship status pending. My research fellowship payment is still pending. The previous payments were processed normally.,14
1941,Viva examination not scheduled,My doctoral defense is awaiting confirmation. My thesis evaluation has already progressed.,Viva,Viva,True,validation,Viva examination not scheduled. My doctoral defense is awaiting confirmation. My thesis evaluation has already progressed.,8
415,Problem with research supervisor,The doctoral supervision process requires review. I have not received a clear update from the concerned office.,Supervisor_Related,Supervisor_Related,True,train,Problem with research supervisor. The doctoral supervision process requires review. I have not received a clear update from the concerned office.,16
2253,Fee transaction issue,The fee transaction in the portal is still pending. The payment was made before the deadline.,Fee,Fee,True,validation,Fee transaction issue. The fee transaction in the portal is still pending. The payment was made before the deadline.,6
706,Course work credit issue,My coursework completion status are still pending. The issue is affecting my research progress.,Course_Work,Course_Work,True,validation,Course work credit issue. My coursework completion status are still pending. The issue is affecting my research progress.,0
2863,RTI matter not updated,The status of my iigrs request has not been updated. I have the submission reference available.,RTI_IIGRS,RTI_IIGRS,True,train,RTI matter not updated. The status of my iigrs request has not been updated. I have the submission reference available.,5
